"","fips","sex","x.race.g1","variable","value"
"1",1,1,1,"x.michd",0.130709308
"2",1,1,2,"x.michd",0.073206297
"3",1,1,3,"x.michd",0.026786639
"4",1,1,4,"x.michd",0.113186851
"5",1,1,5,"x.michd",0.06762256
"6",1,1,6,"x.michd",0.111875765
"7",1,2,1,"x.michd",0.076796139
"8",1,2,2,"x.michd",0.056441295
"9",1,2,3,"x.michd",0.083634912
"10",1,2,4,"x.michd",0.082000522
"11",1,2,5,"x.michd",0.088894208
"12",1,2,6,"x.michd",0.071726078
"13",1,3,1,"x.michd",0.10283839
"14",1,3,2,"x.michd",0.063905768
"15",1,3,3,"x.michd",0.053314356
"16",1,3,4,"x.michd",0.098558465
"17",1,3,5,"x.michd",0.076551458
"18",1,3,6,"x.michd",0.090885627
"19",2,1,1,"x.michd",0.060540849
"20",2,1,2,"x.michd",0.018882868
"21",2,1,3,"x.michd",0.012438687
"22",2,1,4,"x.michd",0.037276832
"23",2,1,5,"x.michd",0.030288101
"24",2,1,6,"x.michd",0.049854618
"25",2,2,1,"x.michd",0.040139827
"26",2,2,2,"x.michd",0.049623819
"27",2,2,3,"x.michd",0.040281676
"28",2,2,4,"x.michd",0.023499443
"29",2,2,5,"x.michd",0.033658709
"30",2,2,6,"x.michd",0.036976202
"31",2,3,1,"x.michd",0.0511757
"32",2,3,2,"x.michd",0.033164861
"33",2,3,3,"x.michd",0.025717781
"34",2,3,4,"x.michd",0.030508736
"35",2,3,5,"x.michd",0.032208485
"36",2,3,6,"x.michd",0.043773273
"37",4,1,1,"x.michd",0.103098286
"38",4,1,2,"x.michd",0.055949655
"39",4,1,3,"x.michd",0.063605637
"40",4,1,4,"x.michd",0.033834876
"41",4,1,5,"x.michd",0.187820494
"42",4,1,6,"x.michd",0.085762896
"43",4,2,1,"x.michd",0.06267388
"44",4,2,2,"x.michd",0.04314963
"45",4,2,3,"x.michd",0.035439629
"46",4,2,4,"x.michd",0.020588246
"47",4,2,5,"x.michd",0.022620199
"48",4,2,6,"x.michd",0.051006688
"49",4,3,1,"x.michd",0.082333028
"50",4,3,2,"x.michd",0.04891975
"51",4,3,3,"x.michd",0.0495612
"52",4,3,4,"x.michd",0.027141236
"53",4,3,5,"x.michd",0.131830235
"54",4,3,6,"x.michd",0.068072684
"55",5,1,1,"x.michd",0.12358413
"56",5,1,2,"x.michd",0.057792281
"57",5,1,3,"x.michd",0.009636809
"58",5,1,4,"x.michd",0.071089589
"59",5,1,5,"x.michd",0.312176888
"60",5,1,6,"x.michd",0.110141323
"61",5,2,1,"x.michd",0.097302973
"62",5,2,2,"x.michd",0.077431964
"63",5,2,3,"x.michd",0.068010794
"64",5,2,4,"x.michd",0.087672584
"65",5,2,5,"x.michd",0.212075085
"66",5,2,6,"x.michd",0.093189329
"67",5,3,1,"x.michd",0.109972795
"68",5,3,2,"x.michd",0.068607552
"69",5,3,3,"x.michd",0.041047977
"70",5,3,4,"x.michd",0.077740512
"71",5,3,5,"x.michd",0.280201941
"72",5,3,6,"x.michd",0.101352572
"73",6,1,1,"x.michd",0.074293586
"74",6,1,2,"x.michd",0.056621522
"75",6,1,3,"x.michd",0.042294896
"76",6,1,4,"x.michd",0.057068252
"77",6,1,5,"x.michd",0.034617032
"78",6,1,6,"x.michd",0.058347115
"79",6,2,1,"x.michd",0.055124841
"80",6,2,2,"x.michd",0.035636006
"81",6,2,3,"x.michd",0.036014682
"82",6,2,4,"x.michd",0.008833834
"83",6,2,5,"x.michd",0.066803456
"84",6,2,6,"x.michd",0.03957467
"85",6,3,1,"x.michd",0.064590884
"86",6,3,2,"x.michd",0.045457267
"87",6,3,3,"x.michd",0.039148419
"88",6,3,4,"x.michd",0.031468969
"89",6,3,5,"x.michd",0.049143725
"90",6,3,6,"x.michd",0.048794036
"91",8,1,1,"x.michd",0.065591408
"92",8,1,2,"x.michd",0.028394999
"93",8,1,3,"x.michd",0.056101711
"94",8,1,4,"x.michd",0.035712975
"95",8,1,5,"x.michd",0.067096234
"96",8,1,6,"x.michd",0.06103756
"97",8,2,1,"x.michd",0.035741947
"98",8,2,2,"x.michd",0.025471182
"99",8,2,3,"x.michd",0.036838603
"100",8,2,4,"x.michd",0.041041942
"101",8,2,5,"x.michd",0.04862352
"102",8,2,6,"x.michd",0.035960487
"103",8,3,1,"x.michd",0.050481486
"104",8,3,2,"x.michd",0.026959631
"105",8,3,3,"x.michd",0.046615286
"106",8,3,4,"x.michd",0.038370937
"107",8,3,5,"x.michd",0.056975105
"108",8,3,6,"x.michd",0.048417072
"109",9,1,1,"x.michd",0.081536175
"110",9,1,2,"x.michd",0.043000603
"111",9,1,3,"x.michd",0.06645903
"112",9,1,4,"x.michd",0.039553671
"113",9,1,5,"x.michd",0.064426419
"114",9,1,6,"x.michd",0.073418312
"115",9,2,1,"x.michd",0.045785229
"116",9,2,2,"x.michd",0.041522023
"117",9,2,3,"x.michd",0.03090629
"118",9,2,4,"x.michd",0.02006423
"119",9,2,5,"x.michd",0.020593987
"120",9,2,6,"x.michd",0.041845357
"121",9,3,1,"x.michd",0.062930248
"122",9,3,2,"x.michd",0.042155034
"123",9,3,3,"x.michd",0.048545285
"124",9,3,4,"x.michd",0.030393525
"125",9,3,5,"x.michd",0.042964066
"126",9,3,6,"x.michd",0.056999206
"127",10,1,1,"x.michd",0.103283429
"128",10,1,2,"x.michd",0.039588196
"129",10,1,3,"x.michd",0.027031161
"130",10,1,4,"x.michd",0.073304906
"131",10,1,5,"x.michd",0.118682228
"132",10,1,6,"x.michd",0.08347787
"133",10,2,1,"x.michd",0.065197268
"134",10,2,2,"x.michd",0.046877909
"135",10,2,3,"x.michd",0.029891041
"136",10,2,4,"x.michd",0.025038504
"137",10,2,5,"x.michd",0.138174769
"138",10,2,6,"x.michd",0.058855455
"139",10,3,1,"x.michd",0.083136269
"140",10,3,2,"x.michd",0.043541024
"141",10,3,3,"x.michd",0.028613721
"142",10,3,4,"x.michd",0.055950889
"143",10,3,5,"x.michd",0.130310443
"144",10,3,6,"x.michd",0.070475132
"145",11,1,1,"x.michd",0.032849342
"146",11,1,2,"x.michd",0.068894414
"147",11,1,3,"x.michd",0.008330089
"148",11,1,4,"x.michd",0.012761198
"149",11,1,5,"x.michd",0
"150",11,1,6,"x.michd",0.042928576
"151",11,2,1,"x.michd",0.014139229
"152",11,2,2,"x.michd",0.063347374
"153",11,2,3,"x.michd",0.01569761
"154",11,2,4,"x.michd",0.032453546
"155",11,2,5,"x.michd",0.091878983
"156",11,2,6,"x.michd",0.038062354
"157",11,3,1,"x.michd",0.023418894
