fips,sex,x.race.g1,x.rfbmi5
1,1,1,0.759010712
1,1,2,0.725623903
1,1,3,0.700818588
1,1,4,0.636959773
1,1,5,0.761620413
2,1,1,0.742966652
2,1,2,0.602584625
2,1,3,0.643019089
2,1,4,0.651617985
2,1,5,0.542187707
4,1,1,0.707905507
4,1,2,0.641738047
4,1,3,0.713852958
4,1,4,0.554714811
4,1,5,0.725787157
5,1,1,0.705039622
5,1,2,0.768917251
5,1,3,0.609926624
5,1,4,0.605725789
5,1,5,0.614587718
6,1,1,0.674113419
6,1,2,0.691995902
6,1,3,0.741448293
6,1,4,0.504877239
6,1,5,0.652360447
8,1,1,0.643543634
8,1,2,0.643106272
8,1,3,0.727872937
8,1,4,0.501243021
8,1,5,0.588101196
9,1,1,0.707070509
9,1,2,0.699102597
9,1,3,0.723785377
9,1,4,0.500824795
9,1,5,0.609740458
10,1,1,0.767892261
10,1,2,0.681295572
10,1,3,0.643027582
10,1,4,0.590119108
10,1,5,0.547598807
11,1,1,0.499929488
11,1,2,0.666461176
11,1,3,0.560544715
11,1,4,0.598964579
11,1,5,0.592952155
12,1,1,0.705727015
12,1,2,0.680790596
12,1,3,0.712064336
12,1,4,0.547114083
12,1,5,0.649801013
13,1,1,0.723349417
13,1,2,0.6520516
13,1,3,0.798460873
13,1,4,0.526715041
13,1,5,0.682195964
15,1,1,0.65077087
15,1,2,0.798715116
15,1,3,0.695312439
15,1,4,0.636858152
15,1,5,0.729963071
16,1,1,0.734062131
16,1,2,0.28375181
16,1,3,0.658713369
16,1,4,0.60007931
16,1,5,0.784015347
17,1,1,0.734912141
17,1,2,0.740945189
17,1,3,0.713853001
17,1,4,0.548226625
17,1,5,0.452259355
18,1,1,0.718599283
18,1,2,0.72953618
18,1,3,0.68913569
18,1,4,0.492390948
18,1,5,0.748799111
19,1,1,0.769278418
19,1,2,0.667904953
19,1,3,0.656233843
19,1,4,0.671068965
19,1,5,0.924005838
20,1,1,0.726570736
20,1,2,0.795471926
20,1,3,0.768136709
20,1,4,0.579407441
20,1,5,0.702751638
21,1,1,0.742954657
21,1,2,0.697661034
21,1,3,0.664420248
21,1,4,0.569743066
21,1,5,0.777488107
22,1,1,0.744127834
22,1,2,0.705354742
22,1,3,0.736057429
22,1,4,0.833012983
22,1,5,0.688526321
23,1,1,0.726157784
23,1,2,0.656641503
23,1,3,0.597243246
23,1,4,0.605963384
23,1,5,0.67584811
24,1,1,0.711375456
24,1,2,0.719138198
24,1,3,0.706488962
24,1,4,0.477749939
24,1,5,0.601775966
25,1,1,0.691036423
25,1,2,0.6569234
25,1,3,0.722066855
25,1,4,0.575561471
25,1,5,0.771564956
26,1,1,0.737897393
26,1,2,0.690812315
26,1,3,0.766809049
26,1,4,0.5754711
26,1,5,0.702901617
27,1,1,0.742466432
27,1,2,0.636694012
27,1,3,0.737493906
27,1,4,0.622190714
27,1,5,0.692731903
28,1,1,0.758414738
28,1,2,0.741288497
28,1,3,0.559449861
28,1,4,0.674858194
28,1,5,0.561266996
29,1,1,0.756611155
29,1,2,0.718624748
29,1,3,0.691885495
29,1,4,0.648536895
29,1,5,0.74896567
30,1,1,0.697353481
30,1,2,0.452038818
30,1,3,0.693823175
30,1,4,0.709637656
30,1,5,0.581924579
31,1,1,0.748135854
31,1,2,0.692956825
31,1,3,0.817909285
31,1,4,0.617876459
31,1,5,0.794673535
32,1,1,0.692758364
32,1,2,0.702890217
32,1,3,0.735061322
32,1,4,0.598809557
32,1,5,0.757077405
33,1,1,0.727327163
33,1,2,0.64137441
33,1,3,0.584400413
33,1,4,0.53140214
33,1,5,0.750824009
34,1,1,0.743786199
34,1,2,0.717464311
34,1,3,0.771860801
34,1,4,0.544854071
34,1,5,0.566162472
35,1,1,0.682504372
35,1,2,0.58822102
35,1,3,0.723995079
35,1,4,0.654218296
35,1,5,0.836220732
36,1,1,0.686233274
36,1,2,0.682150628
36,1,3,0.685865524
36,1,4,0.494366506
36,1,5,0.671286436
37,1,1,0.717951547
37,1,2,0.750995956
37,1,3,0.666432327
37,1,4,0.607670498
37,1,5,0.50567145
38,1,1,0.753686263
38,1,2,0.42669404
38,1,3,0.725087158
38,1,4,0.672974883
38,1,5,0.551146596
39,1,1,0.717655821
39,1,2,0.686055967
39,1,3,0.592623866
39,1,4,0.601508728
39,1,5,0.730097061
40,1,1,0.746485926
40,1,2,0.81953189
40,1,3,0.815533312
40,1,4,0.65906599
40,1,5,0.70865231
41,1,1,0.682382392
41,1,2,0.892363913
41,1,3,0.72660512
41,1,4,0.625846547
41,1,5,0.632887855
42,1,1,0.742228689
42,1,2,0.644043917
42,1,3,0.681120872
42,1,4,0.370464514
42,1,5,0.697348532
44,1,1,0.702774612
44,1,2,0.629871253
44,1,3,0.794904234
44,1,4,0.671381327
44,1,5,0.58663015
45,1,1,0.725824058
45,1,2,0.722250576
45,1,3,0.626324648
45,1,4,0.604598715
45,1,5,0.668982581
46,1,1,0.741562279
46,1,2,0.560193595
46,1,3,0.790320315
46,1,4,0.729741026
46,1,5,0.658194782
47,1,1,0.755788428
47,1,2,0.721278729
47,1,3,0.64029051
47,1,4,0.616119671
47,1,5,0.683143499
48,1,1,0.729691798
48,1,2,0.763332644
48,1,3,0.767668463
48,1,4,0.595114797
48,1,5,0.664184479
49,1,1,0.673783209
49,1,2,0.615924245
49,1,3,0.706260333
49,1,4,0.58096896
49,1,5,0.617916855
50,1,1,0.709140306
50,1,2,0.6749206
50,1,3,0.713911704
50,1,4,0.705740846
50,1,5,0.454608978
51,1,1,0.708140011
51,1,2,0.737144637
51,1,3,0.677431361
51,1,4,0.660347483
51,1,5,0.74850667
53,1,1,0.712062137
53,1,2,0.651190107
53,1,3,0.778222989
53,1,4,0.558394672
53,1,5,0.705072577
54,1,1,0.758149139
54,1,2,0.80212667
54,1,3,0.617311524
54,1,4,0.695562627
54,1,5,0.746185783
55,1,1,0.737607546
55,1,2,0.649810528
55,1,3,0.634391021
55,1,4,0.55245213
55,1,5,0.669139397
56,1,1,0.715020994
56,1,2,0.487210342
56,1,3,0.722320313
56,1,4,0.617734913
56,1,5,0.566447102
66,1,1,0.79708202
66,1,2,0.686870093
66,1,3,0.739123493
66,1,4,0.650796293
66,1,5,0.705921067
72,1,1,0.628113641
72,1,2,0.583488541
72,1,3,0.683420414
72,1,4,0.589846512
72,1,5,1
78,1,1,0.622794072
78,1,2,0.519933071
78,1,3,0.545604225
78,1,4,0.654154972
78,1,5,0.598950088
1,2,1,0.612022205
1,2,2,0.763884121
1,2,3,0.624652615
1,2,4,0.470785755
1,2,5,0.41263054
2,2,1,0.603490522
2,2,2,0.966684355
2,2,3,0.722663671
2,2,4,0.637012942
2,2,5,0.424288795
4,2,1,0.542652028
4,2,2,0.5058209
4,2,3,0.646356215
4,2,4,0.538389785
4,2,5,0.585112231
5,2,1,0.651425784
5,2,2,0.736591994
5,2,3,0.599901753
5,2,4,0.692415819
5,2,5,0.564285026
6,2,1,0.510456728
6,2,2,0.641491999
6,2,3,0.686762591
6,2,4,0.338528515
6,2,5,0.523413146
8,2,1,0.461552348
8,2,2,0.691969027
8,2,3,0.623470983
8,2,4,0.49031348
8,2,5,0.596400671
9,2,1,0.504400786
9,2,2,0.70436092
9,2,3,0.652905891
9,2,4,0.412464056
9,2,5,0.712667892
10,2,1,0.590805372
10,2,2,0.789311748
10,2,3,0.633932172
10,2,4,0.261716469
10,2,5,0.644712011
11,2,1,0.279264845
11,2,2,0.703737473
11,2,3,0.455292483
11,2,4,0.465639412
11,2,5,0.533167859
12,2,1,0.532595907
12,2,2,0.652910404
12,2,3,0.640194509
12,2,4,0.339241938
12,2,5,0.588261163
13,2,1,0.56488927
13,2,2,0.750709809
13,2,3,0.612461308
13,2,4,0.404280373
13,2,5,0.500202647
15,2,1,0.412892386
15,2,2,0.572042702
15,2,3,0.555937556
15,2,4,0.426088891
15,2,5,0.622576193
16,2,1,0.556969678
16,2,2,0.155222209
16,2,3,0.733907386
16,2,4,0.395604735
16,2,5,0.689298747
17,2,1,0.557914241
17,2,2,0.732612452
17,2,3,0.672933045
17,2,4,0.255111291
17,2,5,0.544999672
18,2,1,0.610098647
18,2,2,0.804033505
18,2,3,0.667116096
18,2,4,0.323761356
18,2,5,0.785813792
19,2,1,0.602505784
19,2,2,0.768748224
19,2,3,0.663126274
19,2,4,0.363421447
19,2,5,0.655605449
20,2,1,0.586375895
20,2,2,0.781270532
20,2,3,0.685279562
20,2,4,0.457582392
20,2,5,0.636299975
21,2,1,0.642151209
21,2,2,0.7695577
21,2,3,0.591881566
21,2,4,0.501010689
21,2,5,0.629497237
22,2,1,0.583190086
22,2,2,0.793061717
22,2,3,0.624113352
22,2,4,0.559937563
22,2,5,0.45905968
