fips,value,metric
1,0.162797444,1
2,0.092617024,1
4,0.121978993,1
5,0.150855923,1
6,0.130026974,1
8,0.076383064,1
9,0.114589296,1
10,0.13274007,1
11,0.083145261,1
12,0.140749801,1
13,0.145366825,1
15,0.124857172,1
16,0.102276573,1
17,0.119380573,1
18,0.128400518,1
19,0.102219747,1
20,0.11400589,1
21,0.156513108,1
22,0.138399233,1
23,0.11768131,1
24,0.121730007,1
25,0.117529435,1
26,0.122135424,1
27,0.107849712,1
28,0.155780654,1
29,0.12714602,1
30,0.087906543,1
31,0.107688065,1
32,0.127674191,1
33,0.107568707,1
34,0.114035866,1
35,0.13367665,1
36,0.116776782,1
37,0.124380878,1
38,0.096070438,1
39,0.128906268,1
40,0.128929774,1
41,0.121395615,1
42,0.130762565,1
44,0.10935137,1
45,0.144732724,1
46,0.088264819,1
47,0.150023272,1
48,0.128614343,1
49,0.100379027,1
50,0.094928184,1
51,0.120886111,1
53,0.107408922,1
54,0.159142793,1
55,0.100931895,1
56,0.094138488,1
66,0.116224637,1
72,0.161534395,1
78,0.142255844,1
1,0.871516267,2
2,0.893116416,2
4,0.87522803,2
5,0.896385143,2
6,0.892070304,2
8,0.893864275,2
9,0.931366876,2
10,0.914426324,2
11,0.947030798,2
12,0.836730197,2
13,0.829968247,2
15,0.929897217,2
16,0.844873964,2
17,0.909855934,2
18,0.889190486,2
19,0.935372699,2
20,0.87145243,2
21,0.943092742,2
22,0.86401019,2
23,0.912998063,2
24,0.915971698,2
25,0.942943532,2
26,0.918116368,2
27,0.935997538,2
28,0.834290092,2
29,0.888990838,2
30,0.899947381,2
31,0.878309178,2
32,0.854408999,2
33,0.932464594,2
34,0.892619612,2
35,0.902132408,2
36,0.90490941,2
37,0.862331172,2
38,0.922138687,2
39,0.931570535,2
40,0.852166619,2
41,0.90841128,2
42,0.931992319,2
44,0.924354333,2
45,0.869274249,2
46,0.917887098,2
47,0.886869611,2
48,0.782902837,2
49,0.884506057,2
50,0.947501426,2
51,0.886494591,2
53,0.912632015,2
54,0.926742985,2
55,0.91297508,2
56,0.863317126,2
66,0.770450079,2
72,0.925939297,2
78,0.704718703,2
1,0.78677026,3
2,0.678448641,3
4,0.733311624,3
5,0.803208243,3
6,0.76005151,3
8,0.743893137,3
9,0.851763673,3
10,0.831946307,3
11,0.753248776,3
