fips,sex,x.race.g1,ssbsugr2,ssbfrut2
10,1,1,4.506481028,3.704438291
18,1,1,5.524581358,3.827220412
19,1,1,4.5952405,2.240862143
28,1,1,5.841977356,4.927699003
34,1,1,1.869675079,2.29067638
36,1,1,2.513730543,2.267431675
54,1,1,4.836605138,3.721262313
10,2,1,2.5495662,2.060151726
18,2,1,3.762850886,2.56684098
19,2,1,2.364304995,1.258521201
28,2,1,3.960741106,3.693007688
34,2,1,1.200135604,1.808292859
36,2,1,1.783959706,1.515616522
54,2,1,4.332883643,2.633816389
10,1,2,3.985615797,7.591563409
18,1,2,7.203966718,6.126099858
19,1,2,1.97703039,2.554129314
28,1,2,5.408493485,5.38855812
34,1,2,2.915015188,5.162789827
36,1,2,2.614004754,4.260817449
54,1,2,3.074942633,6.123116103
10,2,2,3.757642964,3.840247413
18,2,2,4.720837977,3.390211647
19,2,2,3.266068238,2.48841683
28,2,2,5.355974087,4.129098955
34,2,2,4.555403316,3.765363536
36,2,2,3.216536394,2.799125827
54,2,2,6.733376211,4.0283782
10,1,3,11.26269867,6.518485478
18,1,3,5.384131581,5.022438599
19,1,3,5.245492204,4.764636879
28,1,3,4.595146319,3.715405821
34,1,3,4.089243779,2.985580426
36,1,3,5.195251597,2.948843831
54,1,3,3.641060542,3.157383541
10,2,3,3.374667336,2.714840714
18,2,3,3.179206789,2.738336809
19,2,3,3.258975544,1.607815167
28,2,3,2.635401655,5.078328026
34,2,3,2.3242907,3.494155611
36,2,3,3.02475037,2.137387313
54,2,3,1.819608106,1.654850905
10,1,4,2.676879598,2.581109596
18,1,4,4.869367382,2.819611043
19,1,4,3.859578492,2.838376353
28,1,4,3.24350208,5.347486685
34,1,4,1.18703252,0.729539673
36,1,4,1.460972715,2.20849321
54,1,4,3.051952835,2.882750282
10,2,4,1.246602064,1.474389363
18,2,4,3.736942776,2.542468048
19,2,4,1.658941057,1.696396536
28,2,4,3.55091398,3.930376406
34,2,4,1.588310733,0.850309833
36,2,4,1.35397867,1.742073048
54,2,4,2.040046546,1.536689476
10,1,5,10.25888443,4.875403304
18,1,5,5.068980286,4.1757831
19,1,5,13.82722103,1.337368428
28,1,5,11.20949164,12.26650111
34,1,5,5.748628365,2.827931252
36,1,5,3.340251946,2.002817579
54,1,5,10.72375746,3.587582473
10,2,5,1.97153738,4.161162379
18,2,5,5.054613188,5.868263147
19,2,5,5.761490529,2.074907522
28,2,5,8.894845107,2.792484124
34,2,5,2.238437577,1.61075883
36,2,5,3.527443909,1.703646709
54,2,5,4.343619113,2.741433136
10,3,1,3.462015822,2.826013846
18,3,1,4.595580892,3.162934367
19,3,1,3.455265429,1.738692129
28,3,1,4.861353724,4.28010666
34,3,1,1.510284972,2.032162644
36,3,1,2.137225748,1.87957273
54,3,1,4.57633877,3.15943234
10,3,2,3.863658236,5.581622696
18,3,2,5.866733693,4.659187113
19,3,2,2.540450077,2.525757078
28,3,2,5.378719254,4.680677134
34,3,2,3.814707308,4.39503709
36,3,2,2.95519618,3.426048647
54,3,2,4.941292773,5.048476015
10,3,3,6.984973465,4.470473272
18,3,3,4.21473027,3.810268678
19,3,3,4.115054409,2.97367947
28,3,3,3.963620046,4.14810479
34,3,3,3.203003567,3.240309295
36,3,3,4.034804598,2.518863611
54,3,3,2.718414215,2.388438397
10,3,4,2.224248919,2.234754799
18,3,4,4.474687965,2.721833711
19,3,4,2.936301889,2.351375932
28,3,4,3.397338197,4.617273757
34,3,4,1.402530978,0.792949565
36,3,4,1.405933819,1.967755136
54,3,4,2.607772261,2.299678909
10,3,5,5.256703664,4.436339806
18,3,5,5.061916189,5.011941946
19,3,5,8.430077084,1.83088909
28,3,5,10.37876195,8.86626394
34,3,5,3.745448124,2.133320648
36,3,5,3.438443935,1.847139628
54,3,5,7.625265361,3.178738859
10,1,6,4.909550591,4.627558894
18,1,6,5.621837755,4.047901061
19,1,6,4.624167898,2.349231948
28,1,6,5.665914009,5.114863808
34,1,6,2.442514693,2.658050793
36,1,6,2.895191571,2.627314012
54,1,6,4.789672558,3.784736792
10,2,6,2.814780759,2.497700964
18,2,6,3.823316691,2.680899579
19,2,6,2.476717948,1.324005355
28,2,6,4.485099584,3.873151581
34,2,6,1.880720059,2.28171766
36,2,6,2.202822523,1.839668629
54,2,6,4.36216098,2.660147256
10,3,6,3.803294252,3.502431115
18,3,6,4.679890499,3.332255054
19,3,6,3.525022068,1.824303031
28,3,6,5.038339408,4.454623856
34,3,6,2.143441063,2.45830724
36,3,6,2.53088164,2.21293214
54,3,6,4.569488636,3.205526924
