"","x.state","sex","x.race.g1","diabete3"
"1.1.1",1,1,1,0.146339726879619
"2.1.1",1,1,2,0.163848937059267
"3.1.1",1,1,3,0.0751372364127168
"4.1.1",1,1,4,0.187344947597923
"5.1.1",1,1,5,0.0643060629424401
"1.2.1",2,1,1,0.0707903628612936
"2.2.1",2,1,2,0.174319282294634
"3.2.1",2,1,3,0.0124743893661818
"4.2.1",2,1,4,0.0796224173783634
"5.2.1",2,1,5,0.0743945159986658
"1.4.1",4,1,1,0.113892922007596
"2.4.1",4,1,2,0.15764423574236
"3.4.1",4,1,3,0.131454722368614
"4.4.1",4,1,4,0.127907329602176
"5.4.1",4,1,5,0.143230992469307
"1.5.1",5,1,1,0.134154881119854
"2.5.1",5,1,2,0.174932125830753
"3.5.1",5,1,3,0.0383949494253211
"4.5.1",5,1,4,0.128482472508178
"5.5.1",5,1,5,0.0459548304883753
"1.6.1",6,1,1,0.0974496050781527
"2.6.1",6,1,2,0.078974292039177
"3.6.1",6,1,3,0.115612851192473
"4.6.1",6,1,4,0.120959689666143
"5.6.1",6,1,5,0.0377278445722798
"1.8.1",8,1,1,0.0651192369189982
"2.8.1",8,1,2,0.0532250409974757
"3.8.1",8,1,3,0.0784044892475894
"4.8.1",8,1,4,0.0547208033178089
"5.8.1",8,1,5,0.08244222296743
"1.9.1",9,1,1,0.100951945061657
"2.9.1",9,1,2,0.142243213120809
"3.9.1",9,1,3,0.0980851235667907
"4.9.1",9,1,4,0.0781359737122117
"5.9.1",9,1,5,0.09664737811404
"1.10.1",10,1,1,0.121171866526794
"2.10.1",10,1,2,0.107065597227914
"3.10.1",10,1,3,0.0606314847505372
"4.10.1",10,1,4,0.0843133962122331
"5.10.1",10,1,5,0.163242545078798
"1.11.1",11,1,1,0.0262377904135342
"2.11.1",11,1,2,0.122222461335901
"3.11.1",11,1,3,0.0171019795443937
"4.11.1",11,1,4,0.0124721193689241
"5.11.1",11,1,5,0
"1.12.1",12,1,1,0.131959960642737
"2.12.1",12,1,2,0.152599407939124
"3.12.1",12,1,3,0.0995531045934409
"4.12.1",12,1,4,0.110868927466527
"5.12.1",12,1,5,0.0753077045001713
"1.13.1",13,1,1,0.131644401679558
"2.13.1",13,1,2,0.117327567992848
"3.13.1",13,1,3,0.0863956249682701
"4.13.1",13,1,4,0.0619117241049953
"5.13.1",13,1,5,0.0521372320945118
"1.15.1",15,1,1,0.0686590658421658
"2.15.1",15,1,2,0.102624905126413
"3.15.1",15,1,3,0.0817528341168039
"4.15.1",15,1,4,0.137350860361464
"5.15.1",15,1,5,0.117857808071113
"1.16.1",16,1,1,0.084089584334323
"2.16.1",16,1,2,0
"3.16.1",16,1,3,0.114563370733254
"4.16.1",16,1,4,0.103242667077741
"5.16.1",16,1,5,0.161649775083759
"1.17.1",17,1,1,0.0947743668717354
"2.17.1",17,1,2,0.160388594804812
"3.17.1",17,1,3,0.0891204109058737
"4.17.1",17,1,4,0.0678807743437052
"5.17.1",17,1,5,0.0300686035923285
"1.18.1",18,1,1,0.114585771403089
"2.18.1",18,1,2,0.181292834437908
"3.18.1",18,1,3,0.0955033363662321
"4.18.1",18,1,4,0.0561375488549037
"5.18.1",18,1,5,0.084601216372976
"1.19.1",19,1,1,0.0953555558503383
"2.19.1",19,1,2,0.0333222868361865
"3.19.1",19,1,3,0.06678925598985
"4.19.1",19,1,4,0.0683581221589274
"5.19.1",19,1,5,0.0507642178829195
"1.20.1",20,1,1,0.0999855287362027
"2.20.1",20,1,2,0.154921639652792
"3.20.1",20,1,3,0.0618858994662133
"4.20.1",20,1,4,0.0875995433989255
"5.20.1",20,1,5,0.0932630667776486
"1.21.1",21,1,1,0.142468743353844
"2.21.1",21,1,2,0.122443959067739
"3.21.1",21,1,3,0.0437371383604189
"4.21.1",21,1,4,0.176273909482725
"5.21.1",21,1,5,0.202617420863603
"1.22.1",22,1,1,0.112727615687661
"2.22.1",22,1,2,0.108365239292904
"3.22.1",22,1,3,0.10199909704014
"4.22.1",22,1,4,0.151796800744029
"5.22.1",22,1,5,0.126250378664138
"1.23.1",23,1,1,0.114260406676111
"2.23.1",23,1,2,0.0495934429258915
"3.23.1",23,1,3,0.0713014001308771
"4.23.1",23,1,4,0.0789764288081978
"5.23.1",23,1,5,0.164476040809942
"1.24.1",24,1,1,0.111082486232654
"2.24.1",24,1,2,0.144812393728679
"3.24.1",24,1,3,0.0799006321135327
"4.24.1",24,1,4,0.0721047510306447
"5.24.1",24,1,5,0.115093691743909
"1.25.1",25,1,1,0.0974015969973125
"2.25.1",25,1,2,0.140334911356487
"3.25.1",25,1,3,0.0811252890219049
"4.25.1",25,1,4,0.0649766179393523
"5.25.1",25,1,5,0.235976651405424
"1.26.1",26,1,1,0.121346973719605
"2.26.1",26,1,2,0.145221908743271
"3.26.1",26,1,3,0.101267664547078
"4.26.1",26,1,4,0.0719557674350234
"5.26.1",26,1,5,0.128513717307277
"1.27.1",27,1,1,0.0938892959215594
"2.27.1",27,1,2,0.08662120770385
"3.27.1",27,1,3,0.065574148890368
"4.27.1",27,1,4,0.0893467246571303
"5.27.1",27,1,5,0.0632165250706483
"1.28.1",28,1,1,0.123324191437496
"2.28.1",28,1,2,0.151334698092739
"3.28.1",28,1,3,0.103167723359511
"4.28.1",28,1,4,0.110057942491562
"5.28.1",28,1,5,0.114357046347501
"1.29.1",29,1,1,0.124140551170187
"2.29.1",29,1,2,0.132211640490271
"3.29.1",29,1,3,0.0753842609182062
"4.29.1",29,1,4,0.0651110966312833
"5.29.1",29,1,5,0.115988023145388
"1.30.1",30,1,1,0.0785547370039756
"2.30.1",30,1,2,0.108359273052739
"3.30.1",30,1,3,0.0487021842542835
"4.30.1",30,1,4,0.158107577562686
"5.30.1",30,1,5,0.0857348480015495
"1.31.1",31,1,1,0.0873499128657989
"2.31.1",31,1,2,0.0815381263104208
"3.31.1",31,1,3,0.0563402429175541
"4.31.1",31,1,4,0.116982699871908
"5.31.1",31,1,5,0.199464810586155
"1.32.1",32,1,1,0.122977370578195
"2.32.1",32,1,2,0.160188434812335
"3.32.1",32,1,3,0.0780565434618006
"4.32.1",32,1,4,0.0711089768183197
"5.32.1",32,1,5,0.023015151668578
"1.33.1",33,1,1,0.106516864852518
"2.33.1",33,1,2,0.0194113018409182
"3.33.1",33,1,3,0.157812336296748
"4.33.1",33,1,4,0.0817664248092827
"5.33.1",33,1,5,0.0896459552621132
"1.34.1",34,1,1,0.0910150698109363
"2.34.1",34,1,2,0.165697017426754
"3.34.1",34,1,3,0.0939921713102706
"4.34.1",34,1,4,0.0664035082376302
"5.34.1",34,1,5,0.0147663774201546
"1.35.1",35,1,1,0.10056084231092
"2.35.1",35,1,2,0.0999775390230903
"3.35.1",35,1,3,0.120108019786737
"4.35.1",35,1,4,0.22128628805061
"5.35.1",35,1,5,0.0552174891102529
"1.36.1",36,1,1,0.100154977224642
"2.36.1",36,1,2,0.122792850801545
"3.36.1",36,1,3,0.103811725305878
"4.36.1",36,1,4,0.12216368082087
"5.36.1",36,1,5,0.0948807613201883
"1.37.1",37,1,1,0.108098143454507
"2.37.1",37,1,2,0.131049022904754
"3.37.1",37,1,3,0.0640543766492821
"4.37.1",37,1,4,0.0702429964477666
"5.37.1",37,1,5,0.154865153117224
"1.38.1",38,1,1,0.0957119060582276
"2.38.1",38,1,2,0.122474703192128
"3.38.1",38,1,3,0.0397892808842783
"4.38.1",38,1,4,0.119668094025104
"5.38.1",38,1,5,0.0190107025540982
"1.39.1",39,1,1,0.115062954609414
"2.39.1",39,1,2,0.130482093649763
"3.39.1",39,1,3,0.101784953275204
"4.39.1",39,1,4,0.066277989966243
"5.39.1",39,1,5,0.154292643099239
"1.40.1",40,1,1,0.121039793507795
"2.40.1",40,1,2,0.126690313767079
"3.40.1",40,1,3,0.0874354211409885
"4.40.1",40,1,4,0.140563338053221
"5.40.1",40,1,5,0.127595791731477
"1.41.1",41,1,1,0.0946329072216952
"2.41.1",41,1,2,0.0812149485787675
"3.41.1",41,1,3,0.131562145760702
