"","fips","sex","x.race.g1","hlthpln1","fips","sex","x.race.g1","persdoc2","fips","sex","x.race.g1","x.rfhlth"
"1.1.1",1,1,1,0.887677289615604,1,1,1,0.762070049661037,1,1,1,0.789728594967134
"2.1.1",1,2,1,0.918144409614286,1,2,1,0.855121273571265,1,2,1,0.76549267832571
"1.2.1",2,1,1,0.893112237566608,2,1,1,0.628309720060411,2,1,1,0.86670529248302
"2.2.1",2,2,1,0.931809677709813,2,2,1,0.7931686616215,2,2,1,0.867448201833504
"1.4.1",4,1,1,0.922061435559966,4,1,1,0.742847857601875,4,1,1,0.850496639306602
"2.4.1",4,2,1,0.951976642056529,4,2,1,0.830518278813775,4,2,1,0.841250644751223
"1.5.1",5,1,1,0.886703136820475,5,1,1,0.790189182656242,5,1,1,0.763144524561584
"2.5.1",5,2,1,0.939811079559245,5,2,1,0.87457571015519,5,2,1,0.736493013182926
"1.6.1",6,1,1,0.945568813575967,6,1,1,0.798078600856521,6,1,1,0.894969485546812
"2.6.1",6,2,1,0.971368433573365,6,2,1,0.876299239585469,6,2,1,0.869247343352666
"1.8.1",8,1,1,0.932345190168103,8,1,1,0.731168170494638,8,1,1,0.894771077523981
"2.8.1",8,2,1,0.957220172065643,8,2,1,0.83880018544716,8,2,1,0.876185744663412
"1.9.1",9,1,1,0.964670243855459,9,1,1,0.865209197798476,9,1,1,0.886462355891646
"2.9.1",9,2,1,0.975709772192806,9,2,1,0.929256498399845,9,2,1,0.880586204214656
"1.10.1",10,1,1,0.941723015970778,10,1,1,0.811038134509511,10,1,1,0.858174473956761
"2.10.1",10,2,1,0.947955281490901,10,2,1,0.911496506683502,10,2,1,0.839771882575726
"1.11.1",11,1,1,0.981824362521807,11,1,1,0.742974165898193,11,1,1,0.972294011932757
"2.11.1",11,2,1,0.974060970164572,11,2,1,0.761117946031258,11,2,1,0.963268487513298
"1.12.1",12,1,1,0.885391150387759,12,1,1,0.744478582802202,12,1,1,0.824374567004069
"2.12.1",12,2,1,0.907496943876503,12,2,1,0.830021445267455,12,2,1,0.82121336027961
"1.13.1",13,1,1,0.877291106823425,13,1,1,0.739826656842481,13,1,1,0.835936748432966
"2.13.1",13,2,1,0.888962184119424,13,2,1,0.834365248053585,13,2,1,0.814818530942855
"1.15.1",15,1,1,0.938807997649054,15,1,1,0.790501589106216,15,1,1,0.888264975595957
"2.15.1",15,2,1,0.948343443344007,15,2,1,0.877213065822233,15,2,1,0.911553142241804
"1.16.1",16,1,1,0.877424644587262,16,1,1,0.679771001068785,16,1,1,0.858865159450289
"2.16.1",16,2,1,0.877954986455317,16,2,1,0.806902367268152,16,2,1,0.851460869841196
"1.17.1",17,1,1,0.939680722618138,17,1,1,0.796619792920576,17,1,1,0.856336794555773
"2.17.1",17,2,1,0.975847443772831,17,2,1,0.913065380040826,17,2,1,0.848244743316569
"1.18.1",18,1,1,0.889516317027717,18,1,1,0.784519648736827,18,1,1,0.830277402881502
"2.18.1",18,2,1,0.936761358522278,18,2,1,0.890037097931396,18,2,1,0.815873965934706
"1.19.1",19,1,1,0.938268861376245,19,1,1,0.79649797906596,19,1,1,0.883194931521818
"2.19.1",19,2,1,0.963689766294234,19,2,1,0.907081992353826,19,2,1,0.865437563057042
"1.20.1",20,1,1,0.903998830090946,20,1,1,0.768979675184744,20,1,1,0.864330536891144
"2.20.1",20,2,1,0.921527055426101,20,2,1,0.877736415673496,20,2,1,0.857197788695415
"1.21.1",21,1,1,0.934089843181113,21,1,1,0.756434700086375,21,1,1,0.784252657590986
"2.21.1",21,2,1,0.963170907080948,21,2,1,0.861462861597112,21,2,1,0.766673505003084
"1.22.1",22,1,1,0.881736377337369,22,1,1,0.712511273709,22,1,1,0.809670129153419
"2.22.1",22,2,1,0.909194220162365,22,2,1,0.852195815820264,22,2,1,0.781689134042256
"1.23.1",23,1,1,0.901735939795671,23,1,1,0.840549723992749,23,1,1,0.836523354008897
"2.23.1",23,2,1,0.930302109890798,23,2,1,0.924291221214533,23,2,1,0.84136121299658
"1.24.1",24,1,1,0.95238318189006,24,1,1,0.850033615318384,24,1,1,0.867279676130287
"2.24.1",24,2,1,0.972988145502808,24,2,1,0.913302285681572,24,2,1,0.872640347225055
"1.25.1",25,1,1,0.954953814347365,25,1,1,0.875331248140562,25,1,1,0.875032958037931
"2.25.1",25,2,1,0.967774316773191,25,2,1,0.957620815165639,25,2,1,0.884112136068935
"1.26.1",26,1,1,0.920001292845557,26,1,1,0.822580986729511,26,1,1,0.831898704229974
"2.26.1",26,2,1,0.947110605457048,26,2,1,0.909206498236096,26,2,1,0.826476856663752
"1.27.1",27,1,1,0.951409679818426,27,1,1,0.684318646817173,27,1,1,0.878060905208765
"2.27.1",27,2,1,0.966231442415082,27,2,1,0.828398728270321,27,2,1,0.887474904807993
"1.28.1",28,1,1,0.851940199527481,28,1,1,0.734126978974972,28,1,1,0.794601410511535
"2.28.1",28,2,1,0.887058016997356,28,2,1,0.856071537601077,28,2,1,0.759737857849898
"1.29.1",29,1,1,0.89239912954971,29,1,1,0.745594101531721,29,1,1,0.821459641322491
"2.29.1",29,2,1,0.907175432847995,29,2,1,0.85584641848054,29,2,1,0.81798942466745
"1.30.1",30,1,1,0.903301229434146,30,1,1,0.681409801107118,30,1,1,0.861674818234697
"2.30.1",30,2,1,0.91304376543536,30,2,1,0.809464564830841,30,2,1,0.84671650364184
"1.31.1",31,1,1,0.915216088937719,31,1,1,0.797460281243236,31,1,1,0.871620321888052
"2.31.1",31,2,1,0.921011262376139,31,2,1,0.891879870302854,31,2,1,0.864573640966622
"1.32.1",32,1,1,0.914618897761147,32,1,1,0.725430778711781,32,1,1,0.814353700692816
"2.32.1",32,2,1,0.926027128267691,32,2,1,0.811850714419005,32,2,1,0.812586758286444
"1.33.1",33,1,1,0.936519662402307,33,1,1,0.851414802054765,33,1,1,0.851100802679335
"2.33.1",33,2,1,0.937821509517947,33,2,1,0.920711148619347,33,2,1,0.869318532882649
"1.34.1",34,1,1,0.94470572601709,34,1,1,0.849447794022701,34,1,1,0.871741833047214
"2.34.1",34,2,1,0.96012101275744,34,2,1,0.901674432125706,34,2,1,0.85806623079247
"1.35.1",35,1,1,0.929736552121717,35,1,1,0.706937895081673,35,1,1,0.864960173219522
"2.35.1",35,2,1,0.969208048907475,35,2,1,0.8461482631304,35,2,1,0.812454433245614
"1.36.1",36,1,1,0.929529115930487,36,1,1,0.835088342647736,36,1,1,0.860643933297741
"2.36.1",36,2,1,0.964309449747163,36,2,1,0.903171290305623,36,2,1,0.865169029512732
"1.37.1",37,1,1,0.904286362950442,37,1,1,0.772078351611528,37,1,1,0.833710766580595
"2.37.1",37,2,1,0.932837014330459,37,2,1,0.87632325824881,37,2,1,0.836481747061196
"1.38.1",38,1,1,0.910908220795401,38,1,1,0.678302635031317,38,1,1,0.864046436881868
"2.38.1",38,2,1,0.956850999279272,38,2,1,0.846772358808561,38,2,1,0.859549105982392
"1.39.1",39,1,1,0.919027700864235,39,1,1,0.791230803754414,39,1,1,0.827229868330718
"2.39.1",39,2,1,0.95495231620435,39,2,1,0.891850884693264,39,2,1,0.825436585122848
"1.40.1",40,1,1,0.870668171811229,40,1,1,0.749641828940925,40,1,1,0.805575515478847
"2.40.1",40,2,1,0.907193675575877,40,2,1,0.852189548026351,40,2,1,0.799859890457912
"1.41.1",41,1,1,0.919923189471459,41,1,1,0.749108609715624,41,1,1,0.83959863813497
"2.41.1",41,2,1,0.941010600187536,41,2,1,0.860422713870553,41,2,1,0.852712748953784
"1.42.1",42,1,1,0.931920408403035,42,1,1,0.83754473813702,42,1,1,0.840051691007608
"2.42.1",42,2,1,0.960295869044119,42,2,1,0.914074880728997,42,2,1,0.850525384418973
"1.44.1",44,1,1,0.935736435858449,44,1,1,0.878014538260947,44,1,1,0.867177275784909
"2.44.1",44,2,1,0.970866302309297,44,2,1,0.942264887034851,44,2,1,0.875261119635293
"1.45.1",45,1,1,0.906125621253861,45,1,1,0.755673868816065,45,1,1,0.83195160868806
"2.45.1",45,2,1,0.916619021355111,45,2,1,0.858871383447949,45,2,1,0.815448827468786
"1.46.1",46,1,1,0.92063947917518,46,1,1,0.747017078342224,46,1,1,0.878164029146471
"2.46.1",46,2,1,0.939564297710778,46,2,1,0.852372417417982,46,2,1,0.879001601273275
"1.47.1",47,1,1,0.898201173157481,47,1,1,0.734903143973776,47,1,1,0.817048619276215
"2.47.1",47,2,1,0.927384949171756,47,2,1,0.849638300790365,47,2,1,0.782177461736236
"1.48.1",48,1,1,0.891358852556197,48,1,1,0.724046556294114,48,1,1,0.858602312121046
"2.48.1",48,2,1,0.900505646964144,48,2,1,0.846730128997369,48,2,1,0.835001333204652
"1.49.1",49,1,1,0.920639025151482,49,1,1,0.709228340952075,49,1,1,0.896904769772943
"2.49.1",49,2,1,0.933423628342307,49,2,1,0.819513825838046,49,2,1,0.896748473618557
"1.50.1",50,1,1,0.931566387015561,50,1,1,0.847124246988878,50,1,1,0.860732263065115
"2.50.1",50,2,1,0.967570538293831,50,2,1,0.922127285899332,50,2,1,0.870275952161137
"1.51.1",51,1,1,0.912774705313815,51,1,1,0.771620786359013,51,1,1,0.862335147746834
"2.51.1",51,2,1,0.937377456642084,51,2,1,0.856778775627881,51,2,1,0.837372064965658
"1.53.1",53,1,1,0.931257834986938,53,1,1,0.734920291522876,53,1,1,0.865768832159845
"2.53.1",53,2,1,0.961122882751273,53,2,1,0.853287178388601,53,2,1,0.872310035748015
"1.54.1",54,1,1,0.91538524037876,54,1,1,0.745954613921809,54,1,1,0.737163317183491
"2.54.1",54,2,1,0.940090252426312,54,2,1,0.870145839724438,54,2,1,0.740635564212687
"1.55.1",55,1,1,0.92032754557426,55,1,1,0.775247961853979,55,1,1,0.849328229069771
