"","fips","sex","x.race.g1","x.michd","fips","sex","x.race.g1","cvdinfr4","fips","sex","x.race.g1","cvdstrk3","fips","sex","x.race.g1","cvdcrhd4"
"1.1.1",1,1,1,0.130709307657334,1,1,1,0.0964459775503852,1,1,1,0.0598260790117882,1,1,1,0.12633089428207
"2.1.1",1,1,2,0.0732062968421075,2,1,1,0.0364355782111983,2,1,1,0.0216921900631015,2,1,1,0.0955861230957899
"3.1.1",1,1,3,0.026786639118893,4,1,1,0.0737958175683289,4,1,1,0.0613310800219264,4,1,1,0.088003505200734
"4.1.1",1,1,4,0.113186851027322,5,1,1,0.0917969791072509,5,1,1,0.0613460769534011,5,1,1,0.135894452577463
"5.1.1",1,1,5,0.067622559752366,6,1,1,0.0582108792239275,6,1,1,0.0417178968201574,6,1,1,0.0681616827140018
"1.2.1",2,1,1,0.0605408494705378,8,1,1,0.0492088237009027,8,1,1,0.0315721737717557,8,1,1,0.061352599395198
"2.2.1",2,1,2,0.018882867644917,9,1,1,0.0602097242337487,9,1,1,0.0414679941888609,9,1,1,0.0720049824321437
"3.2.1",2,1,3,0.0124386867122643,10,1,1,0.0773995779785363,10,1,1,0.044403027533315,10,1,1,0.091169904182506
"4.2.1",2,1,4,0.0372768324039633,11,1,1,0.0147821845985052,11,1,1,0.0364404807541486,11,1,1,0.0479438039562628
"5.2.1",2,1,5,0.0302881012031708,12,1,1,0.0998177362574796,12,1,1,0.0673454391499058,12,1,1,0.0993139255652422
"1.4.1",4,1,1,0.103098285539929,13,1,1,0.073144474628288,13,1,1,0.0549410641400484,13,1,1,0.0963111664057267
"2.4.1",4,1,2,0.0559496550775893,15,1,1,0.0572322049035398,15,1,1,0.0376284203192051,15,1,1,0.064789068251434
"3.4.1",4,1,3,0.0636056373270792,16,1,1,0.053756551009375,16,1,1,0.0595970148789584,16,1,1,0.0653791462202678
"4.4.1",4,1,4,0.0338348758338754,17,1,1,0.0622093615081508,17,1,1,0.0369615749704355,17,1,1,0.0687106360044328
"5.4.1",4,1,5,0.187820493925546,18,1,1,0.0752632807583709,18,1,1,0.0472900127010202,18,1,1,0.0783583671462589
"1.5.1",5,1,1,0.123584129808706,19,1,1,0.0662194333714444,19,1,1,0.0429218374590693,19,1,1,0.0809465117107669
"2.5.1",5,1,2,0.0577922812742633,20,1,1,0.0751216355397975,20,1,1,0.0527251702419139,20,1,1,0.0829596110043074
"3.5.1",5,1,3,0.00963680945952391,21,1,1,0.103626592561318,21,1,1,0.0631032962031692,21,1,1,0.118086562668368
"4.5.1",5,1,4,0.071089589020301,22,1,1,0.09866461333553,22,1,1,0.0441225479156918,22,1,1,0.0886919215416349
"5.5.1",5,1,5,0.312176887880343,23,1,1,0.0822994153802119,23,1,1,0.0409219976202244,23,1,1,0.0869184737418235
"1.6.1",6,1,1,0.0742935862174602,24,1,1,0.0606266841994424,24,1,1,0.0536516094106492,24,1,1,0.0806786797296419
"2.6.1",6,1,2,0.0566215223921958,25,1,1,0.068193751029414,25,1,1,0.0382149102204767,25,1,1,0.0753173516531473
"3.6.1",6,1,3,0.0422948964154206,26,1,1,0.0783573964212447,26,1,1,0.0549787254012611,26,1,1,0.097893875733889
"4.6.1",6,1,4,0.0570682517031051,27,1,1,0.0592832177364539,27,1,1,0.0352806419937401,27,1,1,0.0622389070990857
"5.6.1",6,1,5,0.0346170324080419,28,1,1,0.0931613723119332,28,1,1,0.0438088321472248,28,1,1,0.0942557252833991
"1.8.1",8,1,1,0.0655914079046135,29,1,1,0.0765825044733407,29,1,1,0.0628355495606064,29,1,1,0.0904133413239222
"2.8.1",8,1,2,0.0283949988275644,30,1,1,0.060957390943766,30,1,1,0.0341712704792229,30,1,1,0.0913472228390679
"3.8.1",8,1,3,0.0561017109587129,31,1,1,0.0601937981007087,31,1,1,0.0352358639192782,31,1,1,0.0635564286145207
"4.8.1",8,1,4,0.0357129745782042,32,1,1,0.0737623470376999,32,1,1,0.051683288308526,32,1,1,0.0793175242516926
"5.8.1",8,1,5,0.0670962340074148,33,1,1,0.0681206324012706,33,1,1,0.0450419807820098,33,1,1,0.0889216164026723
"1.9.1",9,1,1,0.0815361747217396,34,1,1,0.0628934661543617,34,1,1,0.0287699292708493,34,1,1,0.0641160262438536
"2.9.1",9,1,2,0.0430006027913216,35,1,1,0.0759133317464469,35,1,1,0.0343355590645266,35,1,1,0.0627478026677267
"3.9.1",9,1,3,0.0664590303373503,36,1,1,0.0551915184462956,36,1,1,0.0429767444980526,36,1,1,0.0656855477857441
"4.9.1",9,1,4,0.0395536714277491,37,1,1,0.0748083846804485,37,1,1,0.0464358629087594,37,1,1,0.0837117415336213
"5.9.1",9,1,5,0.0644264194518638,38,1,1,0.0538782002535288,38,1,1,0.0396474289592446,38,1,1,0.0754542804693505
"1.10.1",10,1,1,0.103283428762506,39,1,1,0.0814659849490453,39,1,1,0.0501678862320872,39,1,1,0.105210830816808
"2.10.1",10,1,2,0.039588196337145,40,1,1,0.0786200337345317,40,1,1,0.0783923616579761,40,1,1,0.117605679388858
"3.10.1",10,1,3,0.0270311606876788,41,1,1,0.0688656471269407,41,1,1,0.0674403921786244,41,1,1,0.0747841390683787
"4.10.1",10,1,4,0.0733049055557917,42,1,1,0.0676328260920783,42,1,1,0.0543959800357471,42,1,1,0.0728110090104089
"5.10.1",10,1,5,0.118682227783221,44,1,1,0.0807828519812445,44,1,1,0.0413037158733871,44,1,1,0.0719246310550956
