"","x.state","x.michd","se","x.state","cvdinfr4","se","x.state","cvdstrk3","se","x.state","cvdcrhd4","se"
"1",1,0.0908856271834342,0.00408028578757326,1,0.064262388523304,0.00399900521561924,1,0.0597127340646814,0.00521985423405312,1,0.0814295276471936,0.00628924881348252
"2",2,0.0437732731864291,0.00433610937544432,2,0.0325546352301615,0.00581634897297925,2,0.0290758489988155,0.00506428155668043,2,0.0494490767251039,0.00896646299810679
"4",4,0.0680726841091085,0.00360148749444314,4,0.0496051010205864,0.00330456696048035,4,0.0670501168392123,0.0108109857496973,4,0.0587374417616349,0.00459295119889591
"5",5,0.10135257160561,0.00656356116397318,5,0.0717618546678293,0.00617632753549674,5,0.0624091865191427,0.00764213131977487,5,0.109793988764882,0.0138419560366521
"6",6,0.0487940360167645,0.00242569404657185,6,0.0330550233952455,0.00261914940011868,6,0.0414512337576986,0.00549823445925487,6,0.0425356993931534,0.0038675325486387
"8",8,0.0484170715127506,0.0019499621140022,8,0.0373301004501332,0.00274683622499473,8,0.0387212259709897,0.00440409592260145,8,0.0417458468051566,0.00283291034938099
"9",9,0.0569992063041551,0.00247266037374578,9,0.0429909716456625,0.00278955757446778,9,0.0468889927711918,0.00649613649040253,9,0.0517542375329154,0.00526150478149937
"10",10,0.0704751320358233,0.00484789127478464,10,0.0522672063489754,0.00452294494064628,10,0.0499128316673296,0.00661671896838919,10,0.0519709610414497,0.00574783076047989
"11",11,0.0403343765027687,0.00331969577177907,11,0.0284534897517171,0.00318091662114914,11,0.058424355114915,0.0124253617585519,11,0.0435792434773485,0.00719429891126923
"12",12,0.0753709740447465,0.00274763961827633,12,0.0559885599683916,0.00291244494232597,12,0.0539564715797907,0.00468383114885457,12,0.064218368149523,0.00444636080119471
"13",13,0.0689790295759736,0.00400925586817699,13,0.0523962378705991,0.00409577415197646,13,0.050717895778375,0.00721794728515317,13,0.0561801700602819,0.00562183532247252
"15",15,0.0563524793978485,0.00336513952934549,15,0.0375909127328161,0.0031201074695114,15,0.0357730677468282,0.00372349197447511,15,0.0453868823466495,0.00516527006161834
"16",16,0.0610617150415479,0.00406827284767792,16,0.0440579056250948,0.00389213500862406,16,0.0427118322864881,0.00708121336359334,16,0.0564837596228637,0.00884505566857029
"17",17,0.0597393942710346,0.00370222531083726,17,0.04577156819688,0.00638152334216373,17,0.0318408564887111,0.00313836603366943,17,0.0443250675450046,0.00417907534659596
"18",18,0.0746374190764971,0.0028582681604206,18,0.0604205034678958,0.00448620110274346,18,0.0484878422565861,0.00470903039544034,18,0.0642069810896575,0.00496690325929942
"19",19,0.0632152722516933,0.00307287825142664,19,0.0474311715634837,0.00356403185445306,19,0.0433872932365199,0.0050545233708827,19,0.0626503593596494,0.0071221956825276
"20",20,0.0635828436199097,0.00236148808383407,20,0.0510977570077283,0.0033159729299961,20,0.0460933104949697,0.00470567433286058,20,0.0587514130508918,0.00467816027035004
"21",21,0.107648705844464,0.0047415024704939,21,0.08166194423132,0.00535382294614751,21,0.0600499194515507,0.00526656802267047,21,0.103162190890054,0.00851848766910992
"22",22,0.082013448718176,0.00466797063766414,22,0.0622807340055689,0.00596557989476958,22,0.0428869819068099,0.00416351481594366,22,0.0731655160993313,0.00603541314784552
"23",23,0.0791718456237663,0.00371692706589264,23,0.0543082111487016,0.00334136490117727,23,0.0370520534494353,0.00319288806782046,23,0.0641389713109998,0.00462850011851591
"24",24,0.0585184928530711,0.00231579238507779,24,0.0423264578460894,0.00227998460361719,24,0.0445851963068729,0.0045352003121309,24,0.0498633006430467,0.00329856202972328
"25",25,0.0642186105035605,0.0036116404218328,25,0.0494469463233513,0.00509329837913889,25,0.0474090981562451,0.0073005206847505,25,0.0667046699720781,0.00888992472960555
"26",26,0.0763806690739992,0.00278113078273362,26,0.0534798834911549,0.00282185838059567,26,0.0537977561114325,0.00507652174186282,26,0.0729128928281776,0.00518411616730968
"27",27,0.0542496567466564,0.00184034492473106,27,0.0385113900867326,0.00198695665046947,27,0.0331718026366566,0.00259908616164429,27,0.0461403712817545,0.0026088801383114
"28",28,0.0901050660782135,0.00471397171257973,28,0.0629509946126428,0.00479467910730063,28,0.0622797345842491,0.00658809103385505,28,0.0750799821016283,0.00664303120052856
"29",29,0.0789900894308254,0.00423150452350353,29,0.0534829070931017,0.00380080486178421,29,0.0587430692643071,0.00532630136107608,29,0.0675886147979178,0.00618934616660536
"30",30,0.0619579469406249,0.00372881771865196,30,0.0457294149297938,0.00338204505392339,30,0.0449506612640334,0.00664073049294896,30,0.0632542676410074,0.00822826163123111
"31",31,0.0591478629516714,0.00240637569783919,31,0.0434842169358979,0.00251948246298632,31,0.044814701972331,0.00621253353832631,31,0.0488514274526012,0.00311747309827004
"32",32,0.0691564057840506,0.00506395494576664,32,0.0565981599289905,0.00658028081869464,32,0.0424286702453171,0.00701459742844599,32,0.0530987806092359,0.00547164354912897
"33",33,0.0633128117658225,0.00354655661135249,33,0.0463997620440619,0.00352268583199454,33,0.0430586474792893,0.00667249679067992,33,0.0584959037301581,0.00575714773079988
"34",34,0.0630185276978859,0.00411086549313264,34,0.0441433516376507,0.00367979434026563,34,0.040875104558947,0.00623378459120888,34,0.0492203529400482,0.00598868983831351
"35",35,0.0695423130621112,0.00451824728059431,35,0.0532631475878721,0.00400524775935284,35,0.0468014216953042,0.00719626441078005,35,0.0598801794245273,0.0111307933039059
