"","fips","sex","x.race.g1","x.rfbmi5"
"1.1.1",1,1,1,0.759010712283032
"2.1.1",1,1,2,0.725623902661685
"3.1.1",1,1,3,0.700818588197716
"4.1.1",1,1,4,0.636959773359424
"5.1.1",1,1,5,0.761620412763628
"1.2.1",2,1,1,0.742966652296715
"2.2.1",2,1,2,0.602584625080355
"3.2.1",2,1,3,0.6430190887605
"4.2.1",2,1,4,0.651617985129302
"5.2.1",2,1,5,0.542187706741106
"1.4.1",4,1,1,0.707905506625818
"2.4.1",4,1,2,0.641738047204975
"3.4.1",4,1,3,0.713852958106721
"4.4.1",4,1,4,0.554714811463495
"5.4.1",4,1,5,0.725787157258206
"1.5.1",5,1,1,0.705039622230767
"2.5.1",5,1,2,0.768917251295356
"3.5.1",5,1,3,0.609926624156841
"4.5.1",5,1,4,0.605725789006621
"5.5.1",5,1,5,0.614587717976926
"1.6.1",6,1,1,0.67411341884969
"2.6.1",6,1,2,0.691995901792929
"3.6.1",6,1,3,0.741448292779794
"4.6.1",6,1,4,0.504877239372616
"5.6.1",6,1,5,0.652360447191241
"1.8.1",8,1,1,0.643543634128578
"2.8.1",8,1,2,0.643106271579496
"3.8.1",8,1,3,0.727872937469544
"4.8.1",8,1,4,0.501243021126632
"5.8.1",8,1,5,0.588101195596288
"1.9.1",9,1,1,0.707070508770598
"2.9.1",9,1,2,0.699102597171557
"3.9.1",9,1,3,0.723785376535062
"4.9.1",9,1,4,0.50082479520149
"5.9.1",9,1,5,0.609740458280102
"1.10.1",10,1,1,0.767892261290937
"2.10.1",10,1,2,0.68129557218343
"3.10.1",10,1,3,0.643027582137166
"4.10.1",10,1,4,0.590119107506144
"5.10.1",10,1,5,0.547598806969824
"1.11.1",11,1,1,0.499929487910375
"2.11.1",11,1,2,0.666461175726702
"3.11.1",11,1,3,0.560544715170161
"4.11.1",11,1,4,0.598964578729979
"5.11.1",11,1,5,0.592952155070431
"1.12.1",12,1,1,0.705727014657604
"2.12.1",12,1,2,0.68079059576581
"3.12.1",12,1,3,0.712064335584772
"4.12.1",12,1,4,0.547114083023861
"5.12.1",12,1,5,0.649801013205205
"1.13.1",13,1,1,0.723349417388371
"2.13.1",13,1,2,0.652051600201966
"3.13.1",13,1,3,0.798460873401443
"4.13.1",13,1,4,0.526715041358911
"5.13.1",13,1,5,0.682195964362208
"1.15.1",15,1,1,0.650770870247222
"2.15.1",15,1,2,0.798715116467122
"3.15.1",15,1,3,0.695312439459808
"4.15.1",15,1,4,0.636858151942887
"5.15.1",15,1,5,0.729963071184114
"1.16.1",16,1,1,0.734062131210623
"2.16.1",16,1,2,0.283751809664944
"3.16.1",16,1,3,0.658713368911883
"4.16.1",16,1,4,0.600079309720546
"5.16.1",16,1,5,0.784015347067089
