"","fips","sex","x.race.g1","prediab1"
"1.1.1",1,1,1,0.0797739830353194
"2.1.1",2,1,1,0.102277776240802
"9.1.1",9,1,1,0.082728130756608
"10.1.1",10,1,1,0.10978035000363
"11.1.1",11,1,1,0.0684422416259063
"12.1.1",12,1,1,0.108388589781562
"15.1.1",15,1,1,0.148081662331653
"16.1.1",16,1,1,0.0800501390664325
"17.1.1",17,1,1,0.0900166546235859
"19.1.1",19,1,1,0.0842444366630944
"21.1.1",21,1,1,0.0874053122575763
"22.1.1",22,1,1,0.0684495324061318
"28.1.1",28,1,1,0.0743941140283283
"31.1.1",31,1,1,0.0629934309095631
"32.1.1",32,1,1,0.106288026213099
"35.1.1",35,1,1,0.101989010998064
"36.1.1",36,1,1,0.0911599920724717
"40.1.1",40,1,1,0.0741576543564557
"41.1.1",41,1,1,0.100692859070305
"45.1.1",45,1,1,0.0784424288612581
"46.1.1",46,1,1,0.0697025148723812
"51.1.1",51,1,1,0.0947394913103517
"54.1.1",54,1,1,0.11534692206036
"55.1.1",55,1,1,0.0922888919168214
"66.1.1",66,1,1,0.0815960896559265
"72.1.1",72,1,1,0.35075666127081
"78.1.1",78,1,1,0.0943586958117671
"1.2.1",1,2,1,0.111860380804172
"2.2.1",2,2,1,0.16978361684646
"9.2.1",9,2,1,0.0925548276094422
"10.2.1",10,2,1,0.162358355875092
"11.2.1",11,2,1,0.0688683152538318
"12.2.1",12,2,1,0.131357275593321
"15.2.1",15,2,1,0.143421428481015
"16.2.1",16,2,1,0.124014049580495
"17.2.1",17,2,1,0.100872727201475
"19.2.1",19,2,1,0.0944401486664008
"21.2.1",21,2,1,0.145329843413194
"22.2.1",22,2,1,0.120802899012819
"28.2.1",28,2,1,0.114155193558201
"31.2.1",31,2,1,0.0932339400730134
"32.2.1",32,2,1,0.120919225526123
"35.2.1",35,2,1,0.129180212144164
"36.2.1",36,2,1,0.104205245683764
"40.2.1",40,2,1,0.111059209056426
"41.2.1",41,2,1,0.133682953306283
"45.2.1",45,2,1,0.110545661800795
"46.2.1",46,2,1,0.0944706447249042
"51.2.1",51,2,1,0.123035138315667
"54.2.1",54,2,1,0.12824122951146
"55.2.1",55,2,1,0.125775759386234
"66.2.1",66,2,1,0.129767188637915
"72.2.1",72,2,1,0.175880237819105
"78.2.1",78,2,1,0.0796414552494585
"19.9.1",19,9,1,0
"22.9.1",22,9,1,0
"36.9.1",36,9,1,0
"41.9.1",41,9,1,0
"1.1.2",1,1,2,0.0930478752416039
"2.1.2",2,1,2,0.278297709601048
"9.1.2",9,1,2,0.101848768015792
"10.1.2",10,1,2,0.177100874727402
"11.1.2",11,1,2,0.140864182966831
"12.1.2",12,1,2,0.128909314637723
"15.1.2",15,1,2,0.315232794232424
"16.1.2",16,1,2,0
"17.1.2",17,1,2,0.104023198813522
"19.1.2",19,1,2,0.0580330255791623
"21.1.2",21,1,2,0.0651138552787731
"22.1.2",22,1,2,0.0962884377503328
"28.1.2",28,1,2,0.0767946261193239
"31.1.2",31,1,2,0.0566207221718391
"32.1.2",32,1,2,0.0731453145744807
"35.1.2",35,1,2,0.0730088009965823
"36.1.2",36,1,2,0.103462806052779
"40.1.2",40,1,2,0.0883208492783012
"41.1.2",41,1,2,0.0386706085145431
"45.1.2",45,1,2,0.138806863050078
"46.1.2",46,1,2,0.0198640076327932
"51.1.2",51,1,2,0.134921017008921
"54.1.2",54,1,2,0.123103347091971
"55.1.2",55,1,2,0.168872578447326
"66.1.2",66,1,2,0.181757519168751
"72.1.2",72,1,2,0.0246518354760614
"78.1.2",78,1,2,0.105960925284522
"1.2.2",1,2,2,0.113979800131147
"2.2.2",2,2,2,0.0620320708838914
"9.2.2",9,2,2,0.164626057078475
"10.2.2",10,2,2,0.206002454971849
"11.2.2",11,2,2,0.222489518453928
"12.2.2",12,2,2,0.200548440662388
"15.2.2",15,2,2,0.175593951734226
"16.2.2",16,2,2,0.139087517068837
"17.2.2",17,2,2,0.129415143658073
"19.2.2",19,2,2,0.0976811186000257
"21.2.2",21,2,2,0.152421155487494
"22.2.2",22,2,2,0.0950535880896226
"28.2.2",28,2,2,0.124008156270456
"31.2.2",31,2,2,0.180478937234048
"32.2.2",32,2,2,0.20404436503104
"35.2.2",35,2,2,0.0761793928341901
"36.2.2",36,2,2,0.169483797938718
"40.2.2",40,2,2,0.134941824538949
"41.2.2",41,2,2,0.443735771537433
"45.2.2",45,2,2,0.142967924793753
"46.2.2",46,2,2,0.154973414266135
"51.2.2",51,2,2,0.209277328205072
"54.2.2",54,2,2,0.199773818099871
"55.2.2",55,2,2,0.126667728947596
"66.2.2",66,2,2,0
"72.2.2",72,2,2,0
"78.2.2",78,2,2,0.200788338529531
"11.9.2",11,9,2,0
"1.1.3",1,1,3,0.063081930724492
"2.1.3",2,1,3,0.0186700118013829
"9.1.3",9,1,3,0.104636254546974
"10.1.3",10,1,3,0.113162850932198
"11.1.3",11,1,3,0.160192795587605
"12.1.3",12,1,3,0.0724761307483287
"15.1.3",15,1,3,0.113582242077277
"16.1.3",16,1,3,0.0579867622215893
"17.1.3",17,1,3,0.115483717178996
"19.1.3",19,1,3,0.0757985572949329
"21.1.3",21,1,3,0.00839887754205077
"22.1.3",22,1,3,0.0331194375178652
"28.1.3",28,1,3,0.0429602626034629
"31.1.3",31,1,3,0.0285190742260564
"32.1.3",32,1,3,0.087475288774156
"35.1.3",35,1,3,0.0643556693367848
"36.1.3",36,1,3,0.0682246677232751
"40.1.3",40,1,3,0.076882563348796
"41.1.3",41,1,3,0.107901710802485
"45.1.3",45,1,3,0.0496109116112701
"46.1.3",46,1,3,0.0361338157302833
"51.1.3",51,1,3,0.068142236195013
"54.1.3",54,1,3,0.0146463516200181
"55.1.3",55,1,3,0.0415736175801884
"66.1.3",66,1,3,0.198226569851406
"72.1.3",72,1,3,0.103475059992473
"78.1.3",78,1,3,0.0281347400622722
"1.2.3",1,2,3,0.0444935290434365
"2.2.3",2,2,3,0.145663781351005
"9.2.3",9,2,3,0.144558658009436
"10.2.3",10,2,3,0.0967963390258938
"11.2.3",11,2,3,0.0459801590539391
"12.2.3",12,2,3,0.10839239856765
"15.2.3",15,2,3,0.184781493150163
"16.2.3",16,2,3,0.0897056238974914
"17.2.3",17,2,3,0.10085081886162
"19.2.3",19,2,3,0.0845344996321806
"21.2.3",21,2,3,0.231699456241787
"22.2.3",22,2,3,0.243710026855595
"28.2.3",28,2,3,0.118671813848276
"31.2.3",31,2,3,0.0996755587228044
"32.2.3",32,2,3,0.150176605636728
"35.2.3",35,2,3,0.173269683953988
"36.2.3",36,2,3,0.115666145067187
"40.2.3",40,2,3,0.0859952601360476
"41.2.3",41,2,3,0.0803846481789656
"45.2.3",45,2,3,0.0837848545672146
"46.2.3",46,2,3,0.168239504262804
"51.2.3",51,2,3,0.171190172368532
"54.2.3",54,2,3,0.0880135496228035
"55.2.3",55,2,3,0.109426768078208
"66.2.3",66,2,3,0.345403020892614
"72.2.3",72,2,3,0.146335008009549
"78.2.3",78,2,3,0.179988019462548
"1.1.4",1,1,4,0.0735297283930279
"2.1.4",2,1,4,0.114329681154837
"9.1.4",9,1,4,0.0890507434403584
"10.1.4",10,1,4,0.0999620155830424
"11.1.4",11,1,4,0.0583975269810497
"12.1.4",12,1,4,0.161144796137196
"15.1.4",15,1,4,0.216982951334211
"16.1.4",16,1,4,0.0231651558320124
"17.1.4",17,1,4,0.0500190210603186
"19.1.4",19,1,4,0.0513228307574248
"21.1.4",21,1,4,0.0863297584269153
"22.1.4",22,1,4,0.0151773428555629
"28.1.4",28,1,4,0.0511813287564444
"31.1.4",31,1,4,0.0329332782215947
"32.1.4",32,1,4,0.107188586690669
"35.1.4",35,1,4,0.09575703596306
"36.1.4",36,1,4,0.131264395484043
"40.1.4",40,1,4,0.168356521317725
"41.1.4",41,1,4,0.197898379704603
"45.1.4",45,1,4,0.0892515592463645
"46.1.4",46,1,4,0.143909105174465
"51.1.4",51,1,4,0.182062775960754
"54.1.4",54,1,4,0.199881810582767
"55.1.4",55,1,4,0.0581100245364678
"66.1.4",66,1,4,0.227610163491254
"72.1.4",72,1,4,0
"78.1.4",78,1,4,0.174863677359629
"1.2.4",1,2,4,0.0860693950765478
"2.2.4",2,2,4,0.182690458238845
"9.2.4",9,2,4,0.0963424475995874
"10.2.4",10,2,4,0.0887148872685453
"11.2.4",11,2,4,0.110848119749526
"12.2.4",12,2,4,0.133779426240111
"15.2.4",15,2,4,0.197363396109203
"16.2.4",16,2,4,0.175530456962556
"17.2.4",17,2,4,0.0624714111118453
"19.2.4",19,2,4,0.00648000090003467
