"","x.state","prediab1","se"
"1",1,0.0971193223147041,0.00504847284991901
"2",2,0.139645724728076,0.0118201144903421
"9",9,0.0977710965944835,0.00408254277053369
"10",10,0.1441974072526,0.00810996191511098
"11",11,0.124543058560599,0.00711868816747063
"12",12,0.121834599641511,0.00407823875325738
"15",15,0.180363667005187,0.00651346499341946
"16",16,0.0996795405813549,0.00571209594859859
"17",17,0.0997245068960944,0.00570850629118929
"19",19,0.0875972338444891,0.00440688248027145
"21",21,0.117811376269507,0.00491903085499282
"22",22,0.0950479728986644,0.00636177811327522
"28",28,0.0972715691505766,0.00593815100528251
"31",31,0.0777635396259878,0.00359875443500821
"32",32,0.123579696209269,0.00822807648143898
"35",35,0.121138232187012,0.0064537763491387
"36",36,0.108498586142902,0.00387488900954065
"40",40,0.101007970479904,0.00524929237202691
"41",41,0.119277026261417,0.00575426685623272
"45",45,0.105832389212567,0.00452231223669034
"46",46,0.089884112499019,0.00685545819140022
"51",51,0.124880296979324,0.00526189710145761
"54",54,0.12325671559513,0.00477181260124944
"55",55,0.108227200633134,0.00562321837120857
"66",66,0.190574841508127,0.0159248180114293
"72",72,0.126056388403365,0.00631678645358231
"78",78,0.14640029118557,0.0155867527884857
