"","fips","sex","x.race.g1","ssbsugr2"
"10.1.1",10,1,1,4.50648102753677
"18.1.1",18,1,1,5.52458135752675
"19.1.1",19,1,1,4.59524049953253
"28.1.1",28,1,1,5.84197735611597
"34.1.1",34,1,1,1.86967507942857
"36.1.1",36,1,1,2.51373054324715
"54.1.1",54,1,1,4.83660513800887
"10.2.1",10,2,1,2.54956619994295
"18.2.1",18,2,1,3.7628508864512
"19.2.1",19,2,1,2.36430499454754
"28.2.1",28,2,1,3.96074110636481
"34.2.1",34,2,1,1.20013560384223
"36.2.1",36,2,1,1.78395970590913
"54.2.1",54,2,1,4.33288364264934
"10.1.2",10,1,2,3.98561579716684
"18.1.2",18,1,2,7.20396671833897
"19.1.2",19,1,2,1.97703038968783
"28.1.2",28,1,2,5.40849348475698
"34.1.2",34,1,2,2.91501518819898
"36.1.2",36,1,2,2.61400475403374
"54.1.2",54,1,2,3.07494263283407
"10.2.2",10,2,2,3.75764296419608
"18.2.2",18,2,2,4.72083797690828
"19.2.2",19,2,2,3.2660682375557
"28.2.2",28,2,2,5.35597408731718
"34.2.2",34,2,2,4.55540331649091
"36.2.2",36,2,2,3.21653639410418
"54.2.2",54,2,2,6.73337621120571
"10.1.3",10,1,3,11.2626986701988
"18.1.3",18,1,3,5.38413158130236
"19.1.3",19,1,3,5.24549220419284
"28.1.3",28,1,3,4.59514631874373
"34.1.3",34,1,3,4.08924377923269
"36.1.3",36,1,3,5.19525159656274
"54.1.3",54,1,3,3.64106054204095
"10.2.3",10,2,3,3.37466733630968
"18.2.3",18,2,3,3.17920678901798
"19.2.3",19,2,3,3.25897554352809
"28.2.3",28,2,3,2.6354016545702
"34.2.3",34,2,3,2.32429070006032
"36.2.3",36,2,3,3.02475036969002
"54.2.3",54,2,3,1.81960810595341
"10.1.4",10,1,4,2.67687959789651
"18.1.4",18,1,4,4.86936738196429
"19.1.4",19,1,4,3.85957849197428
"28.1.4",28,1,4,3.24350207964912
"34.1.4",34,1,4,1.18703251971776
"36.1.4",36,1,4,1.46097271461426
"54.1.4",54,1,4,3.05195283514577
"10.2.4",10,2,4,1.24660206388668
"18.2.4",18,2,4,3.73694277616177
"19.2.4",19,2,4,1.658941057142
"28.2.4",28,2,4,3.55091398023435
"34.2.4",34,2,4,1.58831073297376
"36.2.4",36,2,4,1.35397866992317
"54.2.4",54,2,4,2.0400465461535
"10.1.5",10,1,5,10.2588844251437
"18.1.5",18,1,5,5.0689802858181
"19.1.5",19,1,5,13.827221034393
"28.1.5",28,1,5,11.2094916369581
"34.1.5",34,1,5,5.74862836455759
"36.1.5",36,1,5,3.3402519456568
"54.1.5",54,1,5,10.7237574583551
"10.2.5",10,2,5,1.97153738033344
"18.2.5",18,2,5,5.05461318771886
"19.2.5",19,2,5,5.76149052853382
"28.2.5",28,2,5,8.89484510724732
"34.2.5",34,2,5,2.23843757687496
"36.2.5",36,2,5,3.52744390866221
"54.2.5",54,2,5,4.34361911287112
"10.1",10,3,1,3.46201582194532
"18.1",18,3,1,4.5955808916051
"19.1",19,3,1,3.45526542894977
"28.1",28,3,1,4.86135372418234
"34.1",34,3,1,1.51028497190584
"36.1",36,3,1,2.13722574790567
"54.1",54,3,1,4.57633877029033
"10.2",10,3,2,3.86365823644913
"18.2",18,3,2,5.86673369287613
"19.2",19,3,2,2.54045007650679
"28.2",28,3,2,5.37871925446101
"34.2",34,3,2,3.81470730806819
"36.2",36,3,2,2.95519618037227
"54.2",54,3,2,4.94129277274083
"10.3",10,3,3,6.98497346468037
"18.3",18,3,3,4.21473027032679
"19.3",19,3,3,4.11505440872675
"28.3",28,3,3,3.96362004597305
"34.3",34,3,3,3.20300356714697
"36.3",36,3,3,4.03480459783571
"54.3",54,3,3,2.7184142152411
"10.4",10,3,4,2.22424891857703
"18.4",18,3,4,4.4746879653576
"19.4",19,3,4,2.93630188946752
"28.4",28,3,4,3.3973381968944
"34.4",34,3,4,1.40253097799331
"36.4",36,3,4,1.40593381878552
"54.4",54,3,4,2.60777226093965
"10.5",10,3,5,5.25670366404646
"18.5",18,3,5,5.06191618877759
"19.5",19,3,5,8.43007708407493
"28.5",28,3,5,10.3787619502061
"34.5",34,3,5,3.74544812447511
"36.5",36,3,5,3.43844393507295
"54.5",54,3,5,7.62526536149811
"10.11",10,1,6,4.90955059061285
"18.11",18,1,6,5.62183775495098
"19.11",19,1,6,4.62416789763224
"28.11",28,1,6,5.66591400869192
"34.11",34,1,6,2.44251469292866
"36.11",36,1,6,2.89519157097679
"54.11",54,1,6,4.78967255824835
"10.21",10,2,6,2.8147807591939
"18.21",18,2,6,3.82331669147911
"19.21",19,2,6,2.47671794783326
"28.21",28,2,6,4.48509958362958
"34.21",34,2,6,1.88072005905499
"36.21",36,2,6,2.20282252311487
"54.21",54,2,6,4.36216098027218
